category,topic
"HICKORY, DICKORY OR DOC",
THE MOUSE,
WREN,
"""UP THE""",
CLOCKED,
RUSSIAN GEOGRAPHY,
HISTORY ON FILM,
LET'S GO LOBSTERING,
THIS YEAR'S HEADLINE!,
WILLIAMS,
FOREIGN LANGUAGES,
THEIR FIRST NOVELS,
LET'S GO BOWLING,
AMERICAN FOOD,
WAYNE MAN,
PIRATES,
"""ARG""",
SCIENTIFIC PREFIXES,
FILM SHORTS,
THE BUSINESS OF AMERICA,
MICRO-NATIONS,
DON'T BE CONFUSED,
U.S. VICE PRESIDENTS,
PRESIDENTIAL TERMS OF SERVICE,
CLASSIC COMIC STRIPS,
WORLD TRAVEL,
THE NEXT SOUND YOU HEAR...,
PEAS,
"""Q""s",
GEOMETRY,
PANCHO VILLAGE,
NAME THE AUTHOR,
THE 7 DEADLY SIN-ONYMS,
MOVIE HEROES,
THE ANIMAL KINGDOM,
DECORATING,
COUNTRY SONGS,
NATIONAL HISTORIC PARKS,
PAINTINGS,
MOVIE TITLE PAIRS,
NEW CELEBRITY CONTESTANTS,
CITIES' TALLEST BUILDINGS,
MADE IN JAPAN,
"""X""2",
DATELINE: 1903,
GOLF COURSES,
OSCAR WILDE & CRAZY GUY,
THE SHAPE OF THINGS,
MIXED FRUIT,
MEET ME IN ST. LOUIS,
BABES IN TOYLAND,
EASTER PARADE,
HIGH SOCIETY,
"ON THE ""TOWN""",
FAMOUS LASTS,
UNTRUE DETECTIVE,
"2 PRESIDENTS, SAME LAST NAME",
FORESTS,
UNDER RHYMES,
THAT OLD ____ MAGIC,
WHAT GOOGLE IS DOING,
WORLD FLAGS,
PLAY BILL,
ART ROCKERS,
"CROSSWORD CLUES ""X""",
WHAT GOOGLE COULD BE DOING,
HISTORIC GROUPS,
IT'S TIME FOR SPORTS,
WOMEN'S HEALTH,
PLACES TO GO,
"THINGS TO ""C""",
MECCA,
"DOG, CAT OR FISH",
ITALIAN ART,
FAMOUS AMANDAS,
SCOTT,
STATE HOLIDAYS,
CONVERBS,
"WHAT'S UP, DOC?",
TV DETECTIVES,
HOLMES & WATSON,
MISSION CONTROL,
WHAT THE DICKENS!,
CONGRESSIONAL HISTORY,
"""O"" TOWN",
PICK A NUMBER FROM 1 TO 10,
LATIN LINGO,
"WE LOVE ""R"" MUSIC",
A ROSE GARDEN,
FIX THE CAR (NAME),
"TEXAS, HOLD 'EM",
CLASSICAL LITERATURE,
WHY DOES THAT SOUND FAMILIAR?,
4-LETTER OPPOSITES,
DANIEL RADCLIFFE,
& THE CATEGORY OF GEOGRAPHY,
"PLAY CLASSY, SAN DIEGO",
TV SHOW PLOT POINTS,
SIR ARTHUR CONAN DOYLE,
EAT YOUR VEGGIES,
HISTORIC JOB TITLES,
BURIED IN THE LEGISLATION,
NATIONAL PATRON SAINTS,
"""CHAR""MED, I'M SURE",
TITLE MOVIE PAIRS,
HOLD YOUR HORSES!,
WE'LL GET YOU THERE,
20th CENTURY LEADERS,
VAMOS LA BRASIL,
4-LETTER WORDS WITH 3 VOWELS,
AUTHORS' MUSEUMS,
LOOK CLOSER AT THE LOGO,
AN UNKNOWN NUMBER OF SONGS,
"DRAWING THE ""LINE""",
19th CENTURY POLITICIANS,
KITCHEN ABBREV.,
ARCTIC ANIMALS,
"TIME FOR PLAN ""B""",
WEARING LEATHER,
ATLAS CHAPS,
CLASSIC CINEMA,
1930,
"IT HAD TO BE ""U""",
ETHNIC GROUPS,
DECADES OF ASIAN HISTORY,
WHICH SANDWICH?,
TV GUIDE SAYS,
NO RUSH,
"JUST ""MBLE"" ALONG",
WHEN IN ROME...,
THE NATIONAL RECORDING REGISTRY,
PULITZER PRIZE DRAMA WINNERS,
THE SOUND OF MONEY,
WORDPLAY,
COLORS,
CLASSIC COUNTRY,
"STARTS WITH ""B""",
"ENDS WITH ""UNK""",
NAME CHANGES,
KANSAS,
THE MOVIE'S INTERNATIONAL TITLE,
OTHELLO,
3-LETTER FIRST NAMES,
LIVING AT THE WATERGATE,
PICTURE THE HITMAKERS,
CRABBY!,
"FIRST LETTER Q, SECOND LETTER NOT U",
GETTING IN SHAPE,
TAKE THE STAIRS,
EPONYMOUS GEOGRAPHY,
1809,
COLLEGE TEAM NAMES,
THE BIG BLANK THEORY,
STRIKE A (YOGA) POSE,
VOGUE,
GEOGRAPHUN,
AFRICAN-AMERICAN FIRSTS,
CHARACTERS BASED ON REAL PEOPLE,
FINISH THE C.P. ABBREV.,
TONY NOMINATIONS,
TWITTER FEEDS,
FASHIONABLE COMMON BONDS,
I MARRIED...,
"""A"" MONSTER",
FROM OUTER SPACE,
UNDER THE SEA OR OCEAN,
THEY TURNED MY BOOK INTO A MOVIE,
WHAT KIND OF ANIMAL ARE YOU?,
"GETTING ""ANCE""-Y",
TOP 40 INSTRUMENTALS,
THE NEW YORK TIMES: POLITICS,
"CROSSWORD CLUES ""M""",
ABOVE,
& BEYONCÉ,
OPERA MAN,
ALL THE PRESIDENTS' CHILDREN,
INTERNATIONAL FESTIVALS,
"VOWEL, CONSONANT x3",
THE CASPIAN SEA,
SUPERMAN TO HER LOIS LANE,
THE OXFORD ENGLISH DICTIONARY,
IN THE PINK,
THE '30s,
BRITISH ENGLISH,
____IN' COUNTRY SONGS,
THE ENDS OF THE ROAD,
ANATOMICAL ETYMOLOGY,
THE REAL FIRST NAME,
"MOVIE ""LAND""",
CAUSE OF DEBT,
BLUNT FORCE DRAMA,
TAKING IN THE CITY SITES,
NAME THAT FOOD,
ALCATRAZ,
AT THE MOVIES 10 YEARS AGO,
THE ORIGIN,
OF SPECIES,
ENTERTAINMENT: FIVE RHYMES,
THE EARLY A.D.'S,
WOMEN IN GOVERNMENT,
"""DOO"" OR ""DI""",
HIGHWAYS & BYWAYS,
1964 -- 50 YEARS AGO,
DESSERTS,
THEIR MAIN MUSICAL INSTRUMENT,
FLORIDA GEOGRAPHY,
MARVEL: 75 YEARS,
OBSOLETE WORDS,
WOMEN'S LIT,
MOVIE CENTURY SETTINGS,
COME SAIL AWAY,
SCIENTIFICALLY RELATED,
WHERE THERE'S A WILL...,
"THERE'S A ""WAY""",
TUNNELS,
COLLEGE KNOWLEDGE,
FUNNY PEOPLE,
CITY OF BIRTH,
"NOT A POP GROUP, YET A POP GROUP",
SHAKESPEARE'S FOOLS,
KILLER TV,
READING THE METER,
BORDERING THE RED SEA,
FICTION-ALE,
"DOUBLE ""D"" WORDS",
STUFF,
IN MEMORIAM 2014,
ANCIENT ARCHITECTURE ACADEMY,
GREAT AMERICAN NOVELS,
THE 19th CENTURY,
RHYME 3 TIMES,
IN BLACK & WHITE,
"IN ""GREY""",
THE OTHER SIDE OF THE GLOBE,
DIRECTORS,
TEXAS,
HATS,
ITALIAN HISTORY,
AMERICANS IN PARIS,
THE 2014 EMMYS,
NEXT IN LINE,
BRAINY ANAGRAMS,
A SCENTIMENTAL MOOD,
BATTLE CREEK,
FOR YOUR I's ONLY,
A LOAD OF ODIN,
ALL OVER THE MAP,
ACTRESSES ONSTAGE,
QUOTES OF NOTE,
HAREM SHUFFLE,
CONGRESSIONAL GOLD MEDAL RECIPIENTS,
ENTERTAINMENT,
WHAT DAY IS IT?,
THE SCIENTIFIC NAME GAME,
SOMETHING TO EAT,
"""IUM""",
CAPITALS OF NON-COUNTRIES,
"""J"" MOVIES",
CLASSICAL RADIO,
REAL ESTATE,
A MASSIVE AGGRESSIVE ATTITUDE,
12 LETTERS & STARTS WITH A VOWEL,
TODAY'S MUSIC,
WEBSITES FOR WOMEN,
BOOKS & ARTHURS,
COUNTRY BY STATE,
#NAME?,
PAINT BY YEARS,
SUBATOMIC,
YOU MUST BE CONFUSED,
1940s TELEVISION,
INITIALS TO ROMAN NUMERALS TO NUMBERS II,
THE RECKONING,
20th CENTURY PRESIDENTIAL ELECTIONS,
YOU DO KNOW HIM FROM ADAM,
STATE PARKS,
BUBBLE TROUBLE,
MEDIA,
CHANNING TATUM MOVIES BY ROLE,
McWRITERS,
I'M JUST A SAYING,
SONG TITLE IN COMMON TO...,
SHAKESPEAREAN GEOGRAPHY,
DRAFT PICKS,
THAT'S A LOT OF KIDS!,
STARTS & ENDS WITH L,
LINCOLN,
CONTINENTAL,
WELCOME TO THE JUNGLE BOOK,
THE MOVIE ROLE HE WAS BORN TO PLAY,
BOSTON ACCENTS,
SCULPTORS,
"""TAR""  GET",
BRITISH MUSICMAKERS OF THE '90s,
LYRICS,
COSMETICS,
JESSICAS,
CATS & DOGS,
THE CABINET,
THE BRITISH ISLES,
"""D"" IN SCIENCE",
DICKENS,
KIND OF A DRAG,
CHICK LIT,
EXPRESSIONS FROM BASEBALL,
TRADITIONAL FOODS AS NATIONAL FLAGS,
BRAD PITT FILM ROLES,
WHAT'S IN THE BOX?!,
RHYMING BRANDS,
PUERTO RICO,
THE REIGN OF TERROR,
SHE'S A GODDESS!,
"FROM ""E"" TO ""U""",
PEOPLE IN THE ARTS,
ANAGRAMMED NEW YORK CITIES,
KITCHEN CONFIDENTIAL,
NBA LAST NAME'S THE SAME,
"YOU, PRONOUNS & ME",
WHICH CABINET DEPARTMENT?,
THE DAWN OF THE ATOMIC AGE,
"SOUNDS LIKE MAD LIBS, BUT REAL",
"YO, JOHANN!",
FEMALE BOOK CHARACTERS,
"JUST BEYOND THE ""H""ORIZON",
NUMBERS,
JUDGES,
CHRONICLES,
DANIEL,
"""REV""-ELATION",
SCIENCE MYSTERIES,
SLEEP,
U.K. BODIES OF WATER,
NO. 1 ALBUMS OF THE '60s,
THE ELEMENTS OF STYLE,
ARLINGTON NATIONAL CEMETERY,
MOM SAYS...,
MUSIC CLASS,
3 LETTERS LONG,
A TRIP TO THE MOON,
ARE YOU GAME?,
STATE FLAGS,
BEYOND REASON,
PLAY STATION,
PREFIXES & SUFFIXES,
A EUROPEAN HOLIDAY,
KIDDY LIT TITLE WORDS,
A CATEGORICAL DENIAL,
ON THE MENU,
SEE HOW THEY RAN,
WHAT'S KILLING YOU?,
E.T.'s ON TV,
MEMORABLE METAPHORS,
PROOFREADING,
"CATCH OUR TYPE ""O""s",
LITERARY INSPIRATIONS,
MASTERS OF SIX,
QUOTES FROM THE WIZARD OF OZ,
"""L""ITERATURE",
CAN'T HAVE TOO MANY SHOES,
A GAME OF IDIOMS,
MASTERS OF SAX,
LOWLY HISTORY,
RUSSIAN CROSSWORD CLUES,
STATE MOTTOES,
LOVE!  VALOUR!  COMPASSION!,
LITERARY TRAVEL,
CITY BY STATUE,
HERE'S THE FIRST LETTER,
THAT'S MY CUP OF TEA,
TV NUMBERS,
HISTORIC AUTOMOBILES,
WHAT A COUP!,
PLATINUM BANDS,
THE TITLE WHO...,
LET'S TAIWAN ON,
SPANISH WORDS WITHIN WORDS,
THE AFI's 100 GREATEST FILMS,
U.S NEWS & WORLD REPORT BEST OF 2014,
MOVIE STUDIO LOGOS,
THAT CAN MEAN 2 THINGS!,
DO THE MATH,
THE NATIVITY,
A LITTLE T & A,
COUNTRIES BY WORLD HERITAGE SITES,
THAT WAS ON TV,
IAMB WOMAN,
HEAR ME ROAR,
20th CENTURY SCULPTURE,
CHRISTMAS ON BROADWAY,
PANHANDLE STATES,
NAME BRAND NAMES,
4 Ls,
EARTH SCIENCE,
"MULTIPLE ROLES, SAME ACTOR",
SOCIETY,
NATIONAL PARKS OF THE WORLD,
CHANGING METAMORPHOSIS,
ABBREVIATED MAGAZINES,
FOILED,
DOO-WOP,
THE LAND OF ...,
MILK & HONEY,
HOW IT WORKS,
AMERICAN LIT,
CITY-TITLED MOVIES,
THERE'S A J IN THERE SOMEWHERE,
LEGION OF HONOR RECIPIENTS,
3 DIMENSIONAL,
AFRICAN FLAGS,
IN MY CABINET,
"PLACES THAT END IN ""IA""",
POLICE LINGO,
LATIN IN PLANT NAMES,
& THE HORSE YOU RODE IN ON!,
A NOVEL CATEGORY,
PENN. PALS,
PARENTHETICAL SONG TITLES,
SORRY THE PLACE IS A MESS,
"CROSSWORD CLUES ""D""",
20th CENTURY AMERICA,
THEY SAID IT ON TV,
LITERARY NAME DROPPERS,
BEER-POURRI,
2015 ANNIVERSARIES,
DUCKS,
"PUT IT ON MY ""BILL""",
KIDS & THE BIBLE,
ATTA TURK!,
THE WHO,
HIT THE ROAD,
"PROCESS OF ""L-M-N""ATION",
20th CENTURY BRITS,
LANDMARK SUPREME COURT CASES,
WHAT IT'S NOT,
EARTH,
WIND,
"""FIRE""",
CAT-O'-FIVE-TALES,
DESIGNERS,
FROM NAMES TO WORDS,
LUCKY '13,
NEW VIDEO GAMES,
WEEDER'S DIGEST,
THEY ATTENDED YALE,
IDIOMS,
SHARED TEAM NICKNAMES,
IT'S ALL A MYTH,
LANGUAGE LESSONS,
& THE EMMY GOES TO...,
THE SPANISH-AMERICAN WAR,
LITTLE WEASELS,
"ATTA BOY, TOM!",
"VO""CH""ABULARY",
FRENCH CITIES & TOWNS,
THE TRANSPORTER,
TOP 30 TO 40 HITS,
POWERFUL BOOKS,
ANAGRAMMED CURRENT WORLD LEADERS,
BRITISH BUSINESS NAMES,
A WEALTH OF KNOWLEDGE,
ASHTON KUTCHER,
COUNTRIES BY NEWSPAPERS,
A KNOWLEDGE OF WEALTH,
"FAMOUS, LIKE, QUOTATIONS",
GOD BLESS ARMENIA,
4-LETTER X-RATED WORDS,
OLYMPIC CITIES,
SHAKESPEARE 101,
SANDWICHES,
NOT OUR CONSTITUTION,
READ THE MAP,
TV TEEN DRAMAS,
AN ABBREVIATED CATEGORY,
YOUR PARENTS' DATE MOVIES,
TECH TOPICS,
SOMETHING'S FISHY HERE,
"STARTS & ENDS WITH ""N""",
JOBS,
INVENTION,
CELEBRITY NAMES,
THE DRIVING TEACHER,
KANSAS CITY HERE WE COME,
LOVE LINES,
"WELL ""RED""",
WHEN THEY WERE TEENS,
SEA CREATURES,
IT WAS IN ALL THE PAPERS,
GEOGRAPHIC SUPERLATIVES,
NOBEL PEACE PRIZE WINNERS' HOME COUNTRIES,
"CROSSWORD CLUES ""Z""",
ABOUT TIME,
FILM SONGS,
COLORS OF THE RAINBOW,
THE NATIONAL SEPTEMBER 11 MEMORIAL & MUSEUM,
ITALIAN CITIES & TOWNS,
MUSICAL IDIOMS,
A FORCE OF NATURE,
TV SHOWS BY FAMILY,
BANKING & FINANCE,
SPORTS MASCOTS,
FASCINATING BIBLE FACTS,
BABY IT'S COLD OUTSIDE,
COMEDY FILMS,
A ROOF OVER YOUR HEAD,
"GIVE ME AN ""E""",
SONGS,
"""C"" YOU AT THE MOVIES",
TEXT TALK,
IN THE STATE CAPITAL,
KEEP CALM,
CARRY ON,
I MYTH YOU,
HARD ROCKERS,
BRITISH NICKNAMES,
WE LIECH LIECHTENSTEIN!,
"STRIKE IT ""RICH""",
TV: A NICE PLACE TO START,
PRESIDENTIAL MOMS,
THE WORLD ALMANAC 2015,
THAT'S A REALLY GOOD QUESTION,
"OH, THERE'S THE BELL",
"TIME FOR RE-""CESS""",
ROCKIN' MUSEUMS,
QUOTABLE PLAYS,
A LONG TIME AGO IN CANADA,
HIGH PLACES,
A SHOW OF HANDS,
"WELL, THEY SOUND THE SAME...",
MATH TERMS,
UNUSUAL PLANTS,
PROFESSIONAL SPORTS,
RIVER COUNTRY,
THE MALL,
OPERAS YOU'LL LIKE,
"""O"" YEAH, SURE",
MEDIEVAL EUROPE,
PUPPETRY,
"LOCK, STOCK OR BARREL",
ART BOOKS,
APPLE IDIOMS FOR TEACHER,
CRIME & LAW ENFORCEMENT,
BROADWAY MUSICALS BY SONG,
"""C""OUNTRIES",
BIRDS WITHIN WORDS,
"TELL 'EM WHAT THEY'VE WON, JOHNNY!",
THEY SAID IT,
THE NATIONAL INVENTORS HALL OF FAME,
THAT'S ANCIENT CITY HISTORY,
YOUR TV CHARACTER IS DEAD TO ME,
"THE MI""DD""LE",
ANIMATED STARS,
THE BODY HUMAN,
TEEN CUISINE,
SOLDIERS,
TALES OUT OF SCHOOL,
LET'S VISIT VERMONT,
YE GODS!,
POPULAR FICTION,
1-LETTER STOCK SYMBOLS,
OLYMPIC SPORTS BY GOLD MEDALIST,
WHAT DO I HEAR?,
OTHER BIBLE BOOKS,
COLORFUL RHYME TIME,
THE MATH & NOTHING BUT THE MATH,
20th CENTURY EUROPE,
"CROSSWORD CLUES ""K""",
SAINTS GO MARCHING IN,
U.S. BODIES OF WATER,
ENTERTAINING RELATIVES,
SHAKING UP SHAKESPEARE,
LISTS,
EUROPE IN LATIN,
HOME FURNISHINGS,
BAD POETRY ABOUT POETS,
FROM BOOK TO FILM,
"TIME FOR ""T""",
THEY NAMED A SCHOOL FOR ME!,
OFFICIAL STATE SYMBOLS,
REPTILES,
NON-BLONDES HAVE MORE FUN,
DO YOU SPEAK COMPUTER?,
HEALTH MATTERS,
OVER A FOOT LONG,
TV NETWORK ABBREV.,
BORN IN THE 20th CENTURY,
LABOR UNIONS,
IT'S A GROUP THING,
"CROSSWORD CLUES ""V""",
PRESIDENTIAL RELATIVES,
PARTS OF A PLANT,
ROOTS,
BUDS,
LEAVES,
"""SEED""s",
STEM,
BIBLE BRIEFS,
SOUTH OF THE EQUATOR,
HORSEY VOCABULARY,
THE NEW $100 BILL,
"MOVIES WITH ""HEART""",
THE MERRY WIVES OF WINDSOR,
19th CENTURY WRITERS,
WINDOW TO THE WORLD,
PREFIXES,
THE NAME OF THE BOARD GAME,
CELEBRITY SIBLINGS,
"AMERICAN HISTOR-""E""",
CHEMICAL ELEMENT PAIRS,
FEMALE AUTHORS,
BACK PACS,
ENDS WITH 2 VOWELS,
WOODEN PLOTS,
TV TEACHERS,
HERE'S YOUR REPORT CARD,
2 Ds & AN F!,
SEAS THE DAY,
ON A LAST NAME BASIS,
SONGS OF WINE & ROSES,
REFERENCE BOOK MAKERS,
NON-FAILURE TO COMMUNICATE,
NO. 2 HITS,
19th CENTURY STATE GOVERNORS,
"3 LETTERS, ONE OF WHICH IS Y",
LITERARY TITLE CHARACTERS,
SCIENCE-Y STUFF,
U.S. MILITARY BRANCH BY RANK,
NORTH BY NORTHWEST,
COMEDIANS,
THE ITALIAN RENAISSANCE,
"""BIG"" WORDS",
HISTORIC NAMES ON THE MAP,
FOREIGN FESTIVALS,
TV RERUNS,
GAMBLING,
"SONGS THAT ""DON'T""",
"""B"" IN GEOGRAPHY",
BOOKS,
MIKES & MICHAELS,
"STARTS WITH ""P""",
FICTION,
NAME THAT MUSICAL,
MOTHER GOOSE,
CANADA,
AWARD-WINNERS,
THE MARIAN KIND,
NFL TEAM MASCOTS,
A HAMBURGER WITH ALL THE FIXINGS,
COLD WORLD OUT THERE,
IT FOLLOWED ME HOME,
"CAN I ""KEEP"" IT?",
SINGERS ON POSTAGE STAMPS,
WHEN I'M KING...,
BOOK BUILDING,
"TYPE ""B"", NEGATIVE",
CALIFORNIA CITIES,
SHE-ROES,
A TEXTBOOK CATEGORY,
SHAKE IT UP!,
WEDDINGS OF THE STARS,
"""OY"" TO THE WORLD",
REMEMBER MAINE!,
A LITTLE OF EVERYTHING,
SUCCINCT SILVER SCREEN SUMMARIES,
THAT'S QUITE A MOUTHFUL!,
SEUSSIAN KEYWORDS,
VERMONT,
TV EATERIES & DRINKERIES,
BRAND NAMES AROUND THE WORLD,
"""S"" TO ""T""",
I DIDN'T COME HERE TO MAKE FRIENDS,
COMMISSIONED ARTWORKS,
MY MOVIES,
WHAT DO YOU COLLECT?,
OCEANOGRAPHY,
NAME CALLING,
DAVID MUIR REPORTING,
NO. 1 SONGS,
TENNESSEANS,
HAUTE CUISINE,
SPORTS CITIES,
LITERARY RELATIVES,
FAMOUS TRIOS,
MAN IN SPACE,
"""P""s & ""Q""s",
FAIRY TALES,
JAPAN,
COWBOYS,
INDIANS,
PRESIDENTIAL NICKNAMES,
AVIATION FIRSTS,
AGATHA CHRISTIE,
MINERALS,
THE FUNNIES,
ACTOR-PLAYWRIGHTS,
BLACK AMERICANS,
MOVIE JUDGES,
"STARTS WITH ""L""",
CITIES IN LITERATURE,
NOBEL PRIZES,
TRIVIA,
MISSISSIPPI,
LIGHT,
"""DARK""",
MAY THE FORK BE WITH YOU,
LITERARY CHARCTERS,
SHOW BIZ STUPID ANSWERS,
IT BORDERS BRAZIL,
"MANY ""DO""",
BUT NOT CHILLY,
HISTORICAL ROMANCES,
AMERICAN MUSIC,
3-NAMED ACTORS,
YOUR BODY HAS A SYSTEM,
CIA WORLD FACTOBOOK ABBREV.,
HIDDEN GEMS,
THE CARTER FAMILY,
SNAKES,
BOB RHYME,
STATE CAPITAL HEADQUARTERS,
ALL THINGS GOLDEN,
ICE DANCING,
THE CROSS,
GEOGRAPHIC ETYMOLOGY,
TRIPLE TALK SONGS,
"OH ""NO""!",
DRUNK HISTORY,
ROMANIAN HOLIDAY,
THAT '90s SHOW,
AVIAN GLOSSARY,
AT THIS STAGE,
OF THE GAME,
DRAMA MAMAS,
CIVIL WAR HODGEPODGE,
FOLK MUSIC,
GEOGRAPHIC SAINTS,
"""V""ERBS",
THE BLUES,
THE BLACK LIST,
OPERA COUNTRY SETTINGS,
THROWING SHADE,
UNITS,
1920s SLANG,
DISNEY MOVIES,
LORD BYRON,
"STRONG AS AN ""UX""",
MONSTER MANUAL,
THE CELEBRITY SPOUSE IN COMMON,
PRESIDENTIAL MEDAL OF FREEDOM WINNERS,
"CHAPTER 1, VERSE 1",
"THEY WERE ALL ""YELLOW""",
WOMEN'S CLOTHING,
WHO'S ON TV?,
LITERA-SEA,
THE OSCAR-WINNING DIRECTOR,
SPY TECH,
ELEMENTARY WORDS,
IRISH HISTORY,
THE EMERALD AISLE,
2014 ALBUMS,
LAST NAMES OF FICTIONAL CHARACTERS,
ADVERTISING & MARKETING,
"""SO"" IT GOES",
2-TIMING STATES,
THEY FOUGHT IN THE BIG ONE,
PLAY ME...,
THE REST OF THE WORLD IN 1865,
WHO CARES ABOUT APATHY?,
HYBRIDS & BLENDS,
"PLAY ""M-E""",
HISTORICAL U.S. GEOGRAPHY,
THERE'S NO STOPPING THEM,
WHO'S THE MAMA?,
MOON WALKING,
YOU ARE HERE,
"WEIGHT, WEIGHT",
DON'T L ME,
BEGINS WITH A SILENT LETTER,
ANTS,
UPRISINGS,
ROUGH WORDS IN NATIONAL ANTHEMS,
THE FILM-TO-TV ROLE,
REMEMBER 2014?,
"""-EY"" MAN",
FONTS,
OF INFORMATION,
PLACES IN SONG,
TALK ABOUT THE CLIMATE,
BIG WORDS,
AUTHORS & THEIR WORKS,
WHAT?!... WHEN?!,
THE CIVIL WAR YEARS,
"WE'RE GONNA ""MOON"" YOU!",
OCCUPATIONAL THERAPY,
BODY,
SOUL,
METEOROLOGY,
KAZAKHSTAN,
INTERRED IN THE PANTHEON IN PARIS,
SINGLE MOMS ON TV,
ETYMOLOGY,
DOUBLE A,
THE PRESIDENT'S PLEASURE,
SUPPORTING THE TV SHOW,
FACTA MORGANA,
YOU MAY BE A WALNUT...,
WHAT MEN WANT,
5-LETTER CAPITAL CITIES,
"SCIENCE ""N"" MEDICINE",
POETS' MONIKERS,
THEY PLAYED COACHELLA,
NYC LANDMARKS,
2015 DATES ON THE CALENDAR,
FRENCH FIRST NAMES,
FILM SCHOOL,
"WE LOVE YOU, TORONTO!",
THE BOOK OF EXODUS,
"TIME TO ""GO""",
BRIDGE OF SIZE,
CHOREOGRAPHERS,
AFTER & BEFORE,
CELEBRITY FATHERS & DAUGHTERS,
BARTENDING GLOSSARY,
WHERE THE DEVIL?!,
LIFESTYLES,
THEIR TV ROLES THEN & NOW,
13th CENTURY HIGHLIGHTS,
HELENA BONHAM CARTER ROLES,
AMERICAN ARTISTS,
RHYMES WITH A GREAT LAKE,
WHAT A COOL GADGET,
JUST A FEW LITTLE BUGS,
REFERENCE WORKS,
COUNTRIES IN 3 WORDS,
TRUE OR FALSE,
BASKETBALL HALL OF FAMERS,
'99,
BOTTLES OF BEER,
ON THE WALL,
BROADWAY DEBUTS,
BOOK SYNOPSES,
INTERNATIONAL LAW,
WHICH BODY PART?,
"HEY, ""BRO""!",
EASTER ISLAND,
WHAT'S FOR DESSERT?,
"2-SYLLABLE, 3-LETTER WORDS",
SPEECH!  SPEECH!,
"THE ""HEART"" OF ROCK & ROLL",
R.I.P.,
TREATIES,
"I'M ""FED"" UP!",
NOVELS' SEQUELS,
MOVIE COSTUMES,
SCALING,
MOUNT EVEREST,
IN THE PANTHEON,
AIRPORTS,
PLEASED TO MEAT YOU,
SCIENCE TERMS IN FRENCH,
"5-LETTER ""W""ORDS",
I'M ALL ABOUT THAT BASSIST,
THE CALENDAR,
MOVIE & TV TERMS,
BOLIVIA YOU ME,
THE LAST TIME THE CUBS WON THE WORLD SERIES,
ART IN THE CITY,
POP CULTURE STUPID ANSWERS,
WHICH STATE?,
#NAME?,
FROM THE FRENCH,
THRILLING MILLARD FILLMORE,
WHIP SMART,
ACTORS PLAYING ACTORS,
"""O_U""!",
FROM THE GERMAN,
WEDDINGS,
THINGS TO DO ON A RAINY DAY,
STARTS & ENDS WITH T,
LONG-RUNNING MUSICALS IN SHORT,
ADVERTISING ICONS,
COUNTRIES BY HOTEL,
PRESENTED IN 2D,
MILITARY TV,
6-LETTER CROSSWORD CLUES,
RANKS,
TITLES,
MAY THE 4th BE WITH YOU,
INTERNET SHORTHAND,
NEWS ANCHORS,
I SAY IT'S SPINACH,
"THE ""L"" WITH IT",
PAINT BY NUMBERS,
GAMBLING WORDS,
CHARACTERS FROM AMERICAN LIT,
CONSERVATION ORGANIZATIONS,
WE MEAN BUSINESS,
U.S. HOLIDAYS & OBSERVANCES,
WRITERS BY MIDDLE NAMES,
PULLING OUT ALL THE STOPS,
"""GOOD"" PEOPLE",
THE BRITISH PARLIAMENT,
"MULTIPLE ROLES, SAME MOVIE",
1950s AMERICA,
PICK A NUMBER,
"""DIS"" HERE CATEGORY",
AMERICAN BALLET THEATRE'S 75th ANNIVERSARY,
LET'S HAVE LEFTOVERS,
"THE SETTING, SON",
FADS & FASHIONS,
FIRST LADY FIRST NAMES,
NASCAR,
4-WORD EXCHANGE,
A. MILLER'S TALES,
STEPPE BY STEPPE,
WHAT AN INVENTION,
"""B""ILLBOARD HITS",
HISTORIC SITES,
SUPERHERO DAY JOBS?,
BOOKS' FIRST LINES,
BASEBALL STADIUMS,
"ISLANDS IN THE ""C""s",
PERFUME,
WORDS WITH(IN) FRIENDS,
ARACHNIDS,
PAINTERS & PAINTINGS,
1990--25 YEARS AGO,
PERFORMERS' AUTOBIOGRAPHIES,
"""G""REA""T"" WORDS",
SHAKESPEARE IN ART,
AREA CODE REPRESENTIN',
HALL OF RECORDS,
FIX THE FAMOUS QUOTATION,
MEANWHILE BACK AT THE RANCH,
TV SHOWS BY EPISODES,
"""L""EMENTARY",
ZIGGURATS,
HAZARDOUS TO YOUR HEALTH,
INFAMOUS,
FAMOUS FOLKS,
BRAZIL,
FIG FACTS,
BUSINESS BIGGIES,
GHOSTS,
KNOW YOUR PRODUCE,
EASY SCIENCE,
THE STATE OF THINGS,
MY TV TITLE CHARACTER,
"DIPLOMA""C""",
THE DAY THE MUSIC DIED,
ALONG CAME JONES,
"YOU'VE BEEN ""HACK""ED!",
A VIRGIN CATEGORY,
A RIVER RUNS THROUGH THE BOOK,
SHIPS IN THE NEWS,
A VISIT WITH KATIE COURIC,
THEY DON'T MAKE THESE CARS ANYMORE,
LUCKY 13,
NOVELS BY COUPLE,
STATE AMPHIBIANS & REPTILES,
LIVES OF THE SCIENTISTS,
MOVIE TITLE POSSESIVES,
THIS AMERICAN STRIFE,
A PLACE TO STAY,
"3 ""HOT""s & 2 ""COT""s",
19th CENTURY POETRY,
CATS,
BIBLICAL QUOTES,
WORDS WITHIN WORDS,
INTERNATIONAL TRIVIA,
FROM THE LATIN,
NATIONAL FORESTS,
